id,gender,forename,surname,birth_date,death_date,father.forename,father.surname,mother.forename,mother.surname,floruit,study.colleges,arrival,study.degrees.years,degrees,birth_location.country,birth_location.county,birth_location.latitude,birth_location.longitude,birth_location.official_name,birth_location.original_name,references
idp31f8227d19b538f23a3254acb3a5373d,M,John,Edie,1810-05-09,1876-06-03,John,Eadie,Jessie,Morrice,"[{""occupation"":""United Associate and United Presbyterian minister"",""location"":{""original_name"":""Glasgow"",""official_name"":""Glasgow"",""county"":""Glasgow City"",""country"":""GB"",""latitude"":55.864237,""longitude"":-4.251806},""from"":""1835"",""to"":""1863""},{""occupation"":""United Associate and United Presbyterian minister"",""location"":{""original_name"":""Lansdowne"",""official_name"":""Lansdowne"",""county"":""Pauri Garhwal"",""country"":""IN"",""latitude"":29.8377457,""longitude"":78.6871069},""from"":""1863"",""to"":""1876""}]",null,null,"[{""name"":""D.D."",""date"":""1850-01-12""}]",D.D.,GB,Clackmannanshire,56.152958,-3.799375,Alva,Alva,"[""W.I. Addison, Matriculation albums of the University of Glasgow 1728-1858"",""R. Small, History of the congregations of the United Presbyterian Church 1733-1900"",""DNB""]"
idp1414537116,M,George,Thom,1842-07-02,26/12/1916,William,Thom,Mary,Brodie,"[{""occupation"":""Principal"",""location"":{""original_name"":""Doveton College, Madras"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0872039,""longitude"":80.2574509},""from"":""1867"",""to"":""1876""},{""occupation"":""Principal"",""location"":{""original_name"":""Dollar Institution"",""official_name"":""Dollar"",""county"":""Clackmannanshire"",""country"":""GB"",""latitude"":56.163937,""longitude"":-3.677553},""from"":""1878"",""to"":""1902""}]","[{""name"":""St Maryâ€™s College"",""from"":""1863"",""to"":""1864""}]",1863,"[{""name"":""LL.D."",""date"":""1887-04-20""}]",LL.D.,GB,Aberdeenshire,57.483517,-2.6254778,Forgue,Forgue,"[""Aberdeen University Review 4 p186"",""Deaths Reg. Rubislaw 1916/689""]"
idp1396546572,M,John,Mâ€™Neil,1795-08-13,1883-05-17,John,Mâ€™Neil,Hester,Mâ€™Neil,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1816"",""to"":null}]","[{""name"":""United College"",""from"":""1807"",""to"":""1810""}]",1807,"[{""name"":""LL.D."",""date"":""1854-02-11""}]",LL.D.,null,null,null,null,null,null,"[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 418"",""DNB"",""Memoir""]"
idp1372942124,M,Hugh Francis Clarke,Cleghorn,1820-08-09,1895-05-16,null,null,Isabella,Allan,"[{""occupation"":null,""location"":{""original_name"":""Edinburgh"",""official_name"":""Edinburgh"",""county"":""Edinburgh"",""country"":""GB"",""latitude"":55.953252,""longitude"":-3.188267},""from"":""1837"",""to"":null},{""occupation"":""Conservator of Forests"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1865"",""to"":""1867""}]","[{""name"":""United College"",""from"":""1833"",""to"":""1837""}]",1833,"[{""name"":""LL.D."",""date"":""1885-01-28""}]",LL.D.,IN,Chennai,13.0826802,80.2707184,Chennai,"Chennai, India","[""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) M1094"",""F. Boase, Modern English Biography...1851-1900. 6v. (Truro, 1892-1921)"",""St Andrews Citizen 18.5.1895"",""R. Desmond, Dictionary of British and Irish Botanists and Horticulturalists (London, 1977) p135"",""Edin. Med. Jnl. 40(2) 1895 p1138 - 40"",""Trans. Proc. Bot. Soc., Edin. 20 1895 p439 - 446"",""Hugh Cleghorn (forester)""]"
idp1404525852,M,William Smoult,Playfair,1835-07-27,13/08/1903,George,Playfair,Jessie,Ross,"[{""occupation"":""Doctor"",""location"":{""original_name"":""West Bengal, India"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1857"",""to"":""1860""},{""occupation"":""Doctor"",""location"":{""original_name"":""St Petersburg"",""official_name"":""Ð¡ÐŸÐ‘"",""county"":""Ð¡Ð°Ð½ÐºÑ‚-ÐŸÐµÑ‚ÐµÑ€Ð±ÑƒÑ€Ð³"",""country"":""RU"",""latitude"":59.9310584,""longitude"":30.3609097},""from"":""1860"",""to"":""1863""},{""occupation"":""Doctor"",""location"":{""original_name"":""London"",""official_name"":""London"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.5072178,""longitude"":-0.1275862},""from"":""1863"",""to"":null},{""occupation"":""Professor of Obstetric Medicine"",""location"":{""original_name"":""Kingâ€™s College hospital, London"",""official_name"":""London"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.4679138,""longitude"":-0.0937394},""from"":""1872"",""to"":null}]","[{""name"":""United College"",""from"":""1850"",""to"":""1852""}]",1850,"[{""name"":""LL.D."",""date"":""1885-01-21""}]",LL.D.,IN,null,22.9867569,87.8549755,null,"West Bengal, India","[""Lancet 1896 i passim (court case), 1903 ii 570"",""BMJ 1903 ii 381, 439, 677"",""DNB"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) B 1762"",""Munk's Roll"",""St Andrews Citizen 15.8.1903"",""Deaths Reg. St Andrews 1903""]"
idp1410088764,M,John,Sime,1842-06-08,06/03/1911,John,Sime,Catharine,Ferguson,"[{""occupation"":""Professor"",""location"":{""original_name"":""India"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":20.593684,""longitude"":78.96288},""from"":""1864"",""to"":null},{""occupation"":""Inspector of Schools"",""location"":{""original_name"":""Lahore"",""official_name"":""Lahore"",""county"":""Lahore"",""country"":""PK"",""latitude"":31.5203696,""longitude"":74.35874729999999},""from"":""1881"",""to"":null},{""occupation"":""Director of Public Instruction"",""location"":{""original_name"":""India"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":20.593684,""longitude"":78.96288},""from"":""1890"",""to"":""1901""}]","[{""name"":""United College"",""from"":""1861"",""to"":""1863""}]",1861,"[{""name"":""LL.D."",""date"":""1892-04-14""}]",LL.D.,GB,Perth and Kinross,56.445134,-3.166953,Inchture,Inchture,"[""UYUC310"",""StAUL Donaldson Correspondence, ms5600-9120 and ms29951-29966. Edmund Robertson"",""Who was Who""]"
idp1371181348,M,George Douglas,Campbell,1823-04-30,24/04/1900,John Douglas,Campbell,Joan,Glassel,"[{""occupation"":""Chancellor"",""location"":{""original_name"":""St Andrews University"",""official_name"":""St Andrews"",""county"":""Fife"",""country"":""GB"",""latitude"":56.3417136,""longitude"":-2.7942674},""from"":""1851"",""to"":""1900-04-24""},{""occupation"":""Secretary of State"",""location"":{""original_name"":""India"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":20.593684,""longitude"":78.96288},""from"":""1868"",""to"":""1874""}]",null,null,"[{""name"":""LL.D."",""date"":""1851-11-08""}]",LL.D.,GB,Argyll and Bute Council,56.4006214,-5.480748,null,Argyll,"[""DNB"",""Scots Peerage""]"
idp1399014068,M,John Stuart,Mill,1806-05-20,1873-05-08,James,Mill,Harriet,Burrows,"[{""occupation"":""Chief"",""location"":{""original_name"":""examinerâ€™s office, India House"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":20.593684,""longitude"":78.96288},""from"":""1856"",""to"":null},{""occupation"":""M.P."",""location"":{""original_name"":""Westminster"",""official_name"":""London"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.4974948,""longitude"":-0.1356583},""from"":""1865"",""to"":""1868""},{""occupation"":""Rector"",""location"":{""original_name"":""St Andrews University"",""official_name"":""St Andrews"",""county"":""Fife"",""country"":""GB"",""latitude"":56.3417136,""longitude"":-2.7942674},""from"":""1865-11-23"",""to"":""1868-11-25""}]",null,null,"[{""name"":""LL.D."",""date"":""1867-02-01""}]",LL.D.,GB,Greater London,51.5072178,-0.1275862,London,London,"[""DNB"",""Fifeshire Jnl. 7.2.1867 p6, 28.2.1867 p3"",""John Stuart Mill""]"
idp1405520196,M,John William,Ramsay,1847-01-29,1887-11-25,George,Ramsay,Sarah Frances,Robertson,"[{""occupation"":""M.P."",""location"":{""original_name"":""Liverpool"",""official_name"":""Liverpool"",""county"":""Merseyside"",""country"":""GB"",""latitude"":53.4083714,""longitude"":-2.9915726},""from"":""1880"",""to"":null},{""occupation"":""Secretary of State"",""location"":{""original_name"":""Scotland"",""official_name"":null,""county"":null,""country"":""GB"",""latitude"":56.49067119999999,""longitude"":-4.2026458},""from"":""1886"",""to"":null},{""occupation"":""Earl"",""location"":{""original_name"":""Dalhousie"",""official_name"":""Dalhousie"",""county"":""Chamba"",""country"":""IN"",""latitude"":32.5387385,""longitude"":75.97099779999999},""from"":""1880"",""to"":null}]",null,null,"[{""name"":""LL.D."",""date"":""1885-01-21""}]",LL.D.,IN,Chamba,32.5387385,75.9709978,Dalhousie,Dalhousie,"[""Burke, Peerage""]"
idp7e9d4c46b28e73eb9c51110248e35a18,M,Donald James,Mâ€™Kay,1839-12-22,01/08/1921,Eneas,null,Mary Catherine Anne,Jacoba,"[{""occupation"":""Rector"",""location"":{""original_name"":""St Andrews University"",""official_name"":""St Andrews"",""county"":""Fife"",""country"":""GB"",""latitude"":56.3417136,""longitude"":-2.7942674},""from"":""1884"",""to"":""1886""},{""occupation"":""Governor"",""location"":{""original_name"":""Bombay"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1885"",""to"":""1890""}]",null,null,"[{""name"":""LL.D."",""date"":""1885-01-31""}]",LL.D.,NL,The Hague,52.0704978,4.3006999,The Hague,the Hague,"[""Who was Who"",""Donald Mackay, 11th Lord Reay""]"
O_0169_Orme_Alexander.xml,M,Alexander,Orme,null,1736-04-19,null,null,null,null,"[{""occupation"":""Surgeon"",""location"":{""original_name"":""Angenjo"",""official_name"":""Nakano"",""county"":null,""country"":""JP"",""latitude"":36.7397427,""longitude"":138.3314873},""from"":""1707"",""to"":null},{""occupation"":""Senior merchant"",""location"":{""original_name"":""Angenjo"",""official_name"":""Nakano"",""county"":null,""country"":""JP"",""latitude"":36.7397427,""longitude"":138.3314873},""from"":""1721"",""to"":null},{""occupation"":null,""location"":{""original_name"":""Calcutta"",""official_name"":""Kolkata"",""county"":null,""country"":""IN"",""latitude"":22.572646,""longitude"":88.36389500000001},""from"":""1731"",""to"":null}]","[{""name"":""St Leonardâ€™s College"",""from"":""1691""}]",1691,"[{""name"":""M.A."",""date"":""1733-12-10""}]",M.A.,null,null,null,null,null,null,"[""Crawford, IMS B18""]"
idp1411634460,M,Robert,Spankie,1774-04-17,1842-11-02,Thomas,Spankie,Margaret,Bryce,"[{""occupation"":""Advocate General"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1817"",""to"":""1823""},{""occupation"":""Member of Parliament"",""location"":{""original_name"":""Finsbury"",""official_name"":""London"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.51957480000001,""longitude"":-0.08733579999999999},""from"":""1832"",""to"":""1835""}]","[{""name"":""United College"",""from"":""1788"",""to"":""1792""}]",1788,"[{""name"":""M.A."",""date"":""1803""}]",M.A.,GB,Fife,56.256285,-3.206429,Falkland,Falkland,"[""UYUC400:4.11.1788"",""Times 4.11.1842"",""G. S. Veitch in Trans. Hist. Soc. Lancs. 82 1930 42 - 68"",""M. S. Hardcastle, Life of Lord John Campbell p45"",""Hanna, Chalmers iii 385""]"
idp1386058580,M,David,Hill,1786-10-17,1866-10-16,null,null,Harriet,Scott,"[{""occupation"":""Chief secretary "",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1824"",""to"":""1831""}]","[{""name"":""United College"",""from"":""1798"",""to"":""1802""}]",1798,"[{""name"":""M.A."",""date"":""1804-04-28""}]",M.A.,GB,Fife,56.3397753,-2.7967214,St Andrews,"St Andrews, UK","[""Prinsep p74""]"
idp1386907724,M,Andrew,Horsburgh,1827-02-08,19/11/1917,James,Horsburgh,Harriet,Pote,"[{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Campbeltown"",""official_name"":""Campbeltown"",""county"":""Argyll and Bute Council"",""country"":""GB"",""latitude"":55.424117,""longitude"":-5.605373999999999},""from"":""1848"",""to"":null},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Canton"",""official_name"":""Guangzhou"",""county"":null,""country"":""CN"",""latitude"":23.1290799,""longitude"":113.26436},""from"":""1850"",""to"":null},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Hong Kong"",""official_name"":null,""county"":null,""country"":""HK"",""latitude"":22.3193039,""longitude"":114.1693611},""from"":""1851"",""to"":null},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Borneo"",""official_name"":null,""county"":null,""country"":null,""latitude"":0.9618833999999999,""longitude"":114.5548495},""from"":""1852"",""to"":null},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Selkirk"",""official_name"":""Selkirk"",""county"":""Scottish Borders"",""country"":""GB"",""latitude"":55.550658,""longitude"":-2.838524},""from"":""1856"",""to"":""1859""},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Peshawar"",""official_name"":""Peshawar"",""county"":""Peshawar"",""country"":""PK"",""latitude"":34.0151366,""longitude"":71.5249154},""from"":""1860"",""to"":null},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Derajat, Pakistan"",""official_name"":null,""county"":null,""country"":""PK"",""latitude"":30.375321,""longitude"":69.34511599999999},""from"":""1863"",""to"":""1869""},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Delhi"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":28.7040592,""longitude"":77.10249019999999},""from"":""1871"",""to"":null},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Naini Tal"",""official_name"":""Nainital"",""county"":""Nainital"",""country"":""IN"",""latitude"":29.3919202,""longitude"":79.4542033},""from"":""1877"",""to"":""1879""},{""occupation"":""Episcopal clergyman"",""location"":{""original_name"":""Kashmir"",""official_name"":null,""county"":null,""country"":null,""latitude"":33.277839,""longitude"":75.34121789999999},""from"":""1874"",""to"":null}]","[{""name"":""United College"",""from"":""1842"",""to"":""1846""}]",1842,"[{""name"":""M.A."",""date"":""1846-04-20""}]",M.A.,GB,Fife,56.214,-2.732285,Pittenweem,Pittenweem,"[""Crockford's Clerical Directory"",""Scotsman 29.11.1917""]"
idp1400660100,M,Charles,Morrison,1828-05-31,1890-12-19,Alexander,Morrison,Elizabeth,Latto,"[{""occupation"":""Chaplain"",""location"":{""original_name"":""India"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":20.593684,""longitude"":78.96288},""from"":""1857"",""to"":""1871""},{""occupation"":""Minister"",""location"":{""original_name"":""Laurencekirk"",""official_name"":""Laurencekirk"",""county"":""Aberdeenshire"",""country"":""GB"",""latitude"":56.831345,""longitude"":-2.472517},""from"":""1872"",""to"":""1890-12-19""}]","[{""name"":""United College"",""from"":""1843"",""to"":""1851""},{""name"":""St Maryâ€™s College"",""from"":""1847"",""to"":""1850""}]",1843,"[{""name"":""M.A."",""date"":""1847-04-30""}]",M.A.,GB,Fife,56.3417136,-2.7942674,St Andrews,St Andrews,"[""UYSM400/4/354, 5/10, 26"",""UYUY452/16/396"",""Fasti ecclesiae scoticanae""]"
idp1410182340,M,Alexander K[err],Simpson,1829-06-27,1859-08-17,Kerr,Simpson,Margaret,Angus,"[{""occupation"":""Assistant surgeon"",""location"":{""original_name"":""Mumbai, India"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1857"",""to"":null}]","[{""name"":""United College"",""from"":""1845"",""to"":""1849""},{""name"":""St Maryâ€™s College"",""from"":""1849"",""to"":""1852""}]",1845,"[{""name"":""M.A."",""date"":""1849-04-27""}]",M.A.,GB,Perth and Kinross,56.543858,-3.485135,Caputh,"Caputh, UK","[""UYUC400:5.11.1845, 13.10.1847, 18.11.1848"",""UYSM400/5/27, 40"",""UYUY674 George Simpson"",""United College prize list"",""Census 1851 St Andrews"",""D.G. Crawford, Roll of the Indian Medical Service, 1615-1930 (London, 1930) Bo 907""]"
idp1366286716,M,Augustus Clifford,Bell,1832-04-12,1874-04-24,David,Bell,Sarah,Scott,"[{""occupation"":""Minister"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1860"",""to"":""1874-04-24""}]","[{""name"":""United College"",""from"":""1846"",""to"":""1854""},{""name"":""St Maryâ€™s College"",""from"":""1850"",""to"":""1854""}]",1846,"[{""name"":""M.A."",""date"":""1850-11-02""}]",M.A.,GB,Fife,56.212622,-3.0481379,Kennoway,Kennoway,"[""UYUY452/17/10, 27,28"",""Fasti ecclesiae scoticanae""]"
